Name,Min Players,Max Players,Play Time,Min Age,Users Rated,Rating Average,Complexity Average,Owned Users,Domain1,above_average,Bayesian Average,Most Notable Genre,Most Notable Mechanic,Price,pct_rated,bayes_above_average
Trekking the National Parks: Second Edition,2,5,60,10,608,7.21,1.73,1638.0,other,True,6.02,Educational,Hand Management,39.95,0.37,True
War and Peace,2,6,180,12,1096,6.69,3.32,2639.0,Wargames,True,5.89,Napoleonic,Dice Rolling,12.0,0.42,True
Haru Ichiban,2,2,20,8,986,6.67,1.75,1878.0,Abstract Games,True,5.89,Abstract Strategy,Grid Movement,55.0,0.53,True
Rapa Nui,2,4,40,10,812,6.77,2.07,818.0,Family Games,True,5.86,Card Game,Hand Management,12.95,0.99,True
Unstable Unicorns,2,8,45,14,4149,6.31,1.56,11087.0,Party Games,False,5.95,Card Game,Hand Management,45.0,0.37,True
Dragoon,2,4,60,13,833,7.08,1.95,1824.0,Family Games,True,5.89,Dice,Action Points,75.0,0.46,True
Othello,2,2,30,8,7040,6.1,2.1,10960.0,Abstract Games,False,5.95,Abstract Strategy,Enclosure,3.0,0.64,True
Wicked Witches Way,2,6,30,8,1473,6.43,1.46,2035.0,Family Games,False,5.86,Dice,Dice Rolling,19.95,0.72,True
Marvel: Crisis Protocol,2,2,45,14,370,8.41,2.86,1141.0,other,True,6.25,Comic Book / Strip,Dice Rolling,104.89,0.32,True
Pixel Tactics Deluxe,2,4,45,12,498,7.39,2.58,1988.0,other,True,5.87,Card Game,Hand Management,60.0,0.25,True
Ticket to Ride: The Card Game,2,4,30,8,3901,6.14,1.87,6146.0,Family Games,False,5.89,Card Game,Hand Management,12.95,0.63,True
Darklight: Memento Mori,1,4,120,14,487,8.45,3.57,865.0,Thematic Games,True,5.87,Exploration,Action Points,129.0,0.56,True
2nd Fleet: Modern Naval Combat in the North Atlantic,1,2,240,12,560,7.29,3.42,1431.0,Wargames,True,5.88,Modern Warfare,Dice Rolling,12.0,0.39,True
Fields of Despair: France 1914-1918,2,2,180,13,369,7.95,3.2,1068.0,Wargames,True,5.87,Wargame,Dice Rolling,69.95,0.35,True
Dead Last,6,12,90,14,1765,6.35,1.05,2955.0,Party Games,False,5.86,Bluffing,Player Elimination,24.95,0.6,True
Council of Verona,2,5,20,13,1828,6.33,1.4,3079.0,Family Games,False,5.86,Bluffing,Auction/Bidding,25.0,0.59,True
Tanto Cuore: Expanding the House,2,4,45,12,482,7.53,2.13,1467.0,Customizable Games,True,5.88,Card Game,"Deck, Bag, and Pool Building",33.49,0.33,True
Power Rangers: Heroes of the Grid,2,5,60,14,529,8.1,2.71,1176.0,other,True,6.05,Fighting,Action Points,200.0,0.45,True
Firefly Fluxx,2,6,30,8,1065,6.68,1.31,3720.0,Family Games,True,5.9,Card Game,Hand Management,12.0,0.29,True
Entdecker,2,4,60,10,1411,6.44,2.24,2325.0,Family Games,True,5.87,Exploration,Area Majority / Influence,20.0,0.61,True
Polarity,2,4,20,8,1719,6.37,1.68,2368.0,Abstract Games,False,5.87,Abstract Strategy,Stacking and Balancing,60.0,0.73,True
Homeland: The Game,3,6,90,14,1020,6.6,2.65,2532.0,Strategy Games,True,5.85,Deduction,Memory,37.5,0.4,True
Northern Pacific,3,6,60,7,598,7.05,1.55,730.0,Strategy Games,True,6.03,Trains,Commodity Speculation,54.0,0.82,True
Simurgh,2,5,90,14,876,6.75,2.97,1870.0,Strategy Games,True,5.85,Fantasy,Modular Board,45.0,0.47,True
Richelieu,2,2,45,12,1041,6.59,1.92,1230.0,Strategy Games,True,5.86,Card Game,Open Drafting,10.0,0.85,True
Munchkin Cthulhu,3,6,90,10,4969,6.2,1.71,10984.0,Thematic Games,False,5.89,Card Game,Dice Rolling,16.99,0.45,True
Solarius Mission,2,4,150,12,512,7.24,3.95,647.0,Strategy Games,True,5.87,Civilization,Action Queue,60.0,0.79,True
Phantom Leader,1,1,30,12,471,7.49,2.6,927.0,Wargames,True,5.86,Aviation / Flight,Campaign / Battle Card Driven,37.5,0.51,True
The Caucasus Campaign,2,2,360,0,414,7.64,3.0,1033.0,Wargames,True,5.86,Wargame,Dice Rolling,27.5,0.4,True
Eggs and Empires,2,6,25,8,862,6.71,1.26,1429.0,Family Games,True,5.87,Bluffing,Auction/Bidding,11.49,0.6,True
PAX,1,4,45,10,795,6.78,2.13,1050.0,Strategy Games,True,5.86,Ancient,Area Majority / Influence,13.5,0.76,True
Apotheca,1,4,30,13,1025,6.71,1.96,2049.0,Abstract Games,True,5.86,Abstract Strategy,Action Points,46.0,0.5,True
Flash Duel: Second Edition,1,5,15,0,775,6.86,1.62,1110.0,Family Games,True,5.84,Card Game,Hand Management,19.0,0.7,True
Loopin' Chewie,2,3,15,4,1687,6.33,1.0,3137.0,Children's Games,False,5.9,Action / Dexterity,Player Elimination,5.0,0.54,True
Castle Dice,1,4,45,10,964,6.67,2.27,1590.0,Family Games,True,5.86,Dice,Dice Rolling,41.95,0.61,True
Potato Man,2,5,40,10,849,6.72,1.44,1108.0,Family Games,True,6.05,Card Game,Trick-taking,6.95,0.77,True
Don't Get Got!,2,10,1440,14,568,7.18,1.08,1755.0,Party Games,True,6.14,Bluffing,Acting,9.99,0.32,True
Hordes,2,8,60,12,465,7.56,3.32,714.0,Thematic Games,True,5.83,Fantasy,Variable Player Powers,25.0,0.65,True
Bargain Hunter,3,4,45,10,822,6.74,1.87,1536.0,Family Games,True,5.89,Card Game,Set Collection,12.0,0.54,True
Rockwell,2,4,90,14,575,7.13,3.2,1088.0,Strategy Games,True,5.85,Economic,Area Majority / Influence,32.5,0.53,True
Sherlock: The Tomb of the Archaeologist,1,8,60,10,804,6.78,1.53,1534.0,other,True,5.89,Card Game,Communication Limits,5.0,0.52,True
Dragon's Breath,2,4,20,5,936,6.66,1.08,1873.0,Children's Games,True,5.98,Action / Dexterity,Physical Removal,7.0,0.5,True
Papà Paolo,2,4,75,10,660,6.98,2.76,1278.0,other,True,5.87,City Building,Auction/Bidding,41.0,0.52,True
War of 1812,2,2,90,12,637,7.03,2.11,1135.0,Wargames,True,5.87,American Indian Wars,Dice Rolling,20.0,0.56,True
Game of Trains,2,4,20,8,1661,6.36,1.21,2803.0,Family Games,False,5.9,Card Game,Open Drafting,16.0,0.59,True
Lost Legends,3,5,70,10,1307,6.45,2.45,2825.0,Strategy Games,True,5.85,Fantasy,Open Drafting,32.99,0.46,True
Divvy Dice,1,4,30,8,625,7.0,2.1,1475.0,other,True,5.98,Dice,Dice Rolling,12.0,0.42,True
Word Domination,2,4,45,13,599,7.1,1.88,1587.0,other,True,5.88,Territory Building,Area Majority / Influence,25.0,0.38,True
Dust,2,6,180,12,1430,6.45,2.62,2688.0,Thematic Games,True,5.85,Miniatures,Area Majority / Influence,40.49,0.53,True
Toledo,2,4,60,10,1988,6.27,2.18,2850.0,Family Games,False,5.88,Fighting,Hand Management,29.9,0.7,True
The Island of El Dorado,2,4,80,10,1374,6.81,1.83,3446.0,Strategy Games,True,5.8,Adventure,Action Queue,69.99,0.4,True
Trick of the Rails,3,5,20,10,869,6.68,2.3,1441.0,Strategy Games,True,5.9,Card Game,Multi-Use Cards,30.0,0.6,True
Dungeon Universalis,1,6,180,12,454,8.99,4.1,697.0,Thematic Games,True,6.15,Adventure,Action Points,120.0,0.65,True
The Binding of Isaac: Four Souls,2,4,60,13,1241,6.94,2.21,3076.0,Strategy Games,True,0.0,Parsing Error,Parsing Error,15.5,0.4,False
Monikers: The Shut Up & Sit Down Nonsense Box,4,20,60,18,303,8.1,1.0,1333.0,other,True,5.95,Party Game,Acting,5.0,0.23,True
Ugg-Tect,2,8,45,8,1820,6.3,1.19,2717.0,Party Games,False,5.87,Humor,Acting,24.9,0.67,True
Courtier,2,4,45,10,905,6.66,2.34,1420.0,Strategy Games,True,5.86,Card Game,Area Majority / Influence,24.5,0.64,True
Spinderella,2,4,20,6,1321,6.48,1.16,2430.0,Children's Games,True,5.9,Action / Dexterity,Race,29.9,0.54,True
Tantrix,1,4,30,8,1874,6.33,2.22,3393.0,Abstract Games,False,5.9,Abstract Strategy,Pattern Building,50.0,0.55,True
Bad Bones,1,6,45,8,679,7.02,2.14,1024.0,other,True,5.89,Fantasy,Cooperative Game,60.0,0.66,True
Herbaceous Sprouts,1,4,30,8,590,7.08,1.78,1407.0,other,True,5.94,Dice,Closed Drafting,38.99,0.42,True
Tiefe Taschen,4,8,50,12,511,7.23,1.5,653.0,Party Games,True,5.87,Bluffing,Bribery,19.99,0.78,True
Uchronia,2,5,60,14,1173,6.5,2.74,1916.0,Strategy Games,True,5.87,Ancient,Follow,21.95,0.61,True
Heartland,2,5,60,8,714,6.84,2.1,843.0,Family Games,True,5.85,Animals,Enclosure,27.96,0.85,True
Fische Fluppen Frikadellen,2,5,90,10,986,6.59,2.51,1304.0,Strategy Games,True,5.86,Economic,Multiple Maps,30.0,0.76,True
Catan Histories: Struggle for Rome,3,4,120,10,1360,6.43,2.55,2535.0,Strategy Games,False,5.87,Ancient,Area Movement,28.5,0.54,True
Excape,3,6,30,8,1575,6.34,1.14,1463.0,Family Games,False,5.98,Dice,Dice Rolling,25.0,1.08,True
Caesar: Epic Battle of Alesia,2,4,360,12,612,7.1,2.99,1413.0,Wargames,True,5.86,Ancient,Area Movement,40.0,0.43,True
Renature,2,4,60,8,399,7.71,2.09,1015.0,other,True,6.38,Environmental,Area Majority / Influence,42.0,0.39,True
Curious Cargo,2,2,60,12,421,7.53,3.07,1436.0,other,True,6.32,Industry / Manufacturing,Action Points,25.0,0.29,True
Midgard,3,5,60,12,1004,6.58,2.37,1227.0,Strategy Games,True,5.85,Medieval,Area Majority / Influence,23.0,0.82,True
Welcome to Centerville,2,4,80,12,626,6.98,2.45,1077.0,Strategy Games,True,5.87,City Building,Area Majority / Influence,59.49,0.58,True
Was sticht?,3,4,60,12,619,6.96,2.4,885.0,Family Games,True,5.86,Card Game,Open Drafting,18.0,0.7,True
Fossilis,2,5,60,8,452,7.55,2.2,1599.0,other,True,6.07,Animals,Action Points,43.0,0.28,True
SPQR,2,2,240,13,472,7.38,3.72,1202.0,Wargames,True,5.85,Ancient,Dice Rolling,17.5,0.39,True
Terrors of London,2,2,40,14,562,7.29,2.38,1677.0,other,True,5.97,Card Game,"Deck, Bag, and Pool Building",20.0,0.34,True
Deckscape: Behind the Curtain,1,6,90,12,597,7.02,2.14,1386.0,other,True,5.98,Card Game,Cooperative Game,14.0,0.43,True
Taco Cat Goat Cheese Pizza,2,8,30,8,751,6.96,1.04,2211.0,Party Games,True,6.19,Action / Dexterity,Pattern Recognition,5.0,0.34,True
Grimoire,2,5,30,12,1342,6.42,1.86,2218.0,Family Games,False,5.86,Card Game,Open Drafting,40.0,0.61,True
Panzer: The Game of Small Unit Actions and Combined Arms Operations on the Eastern Front 1943-45,2,4,300,0,407,7.78,3.73,1420.0,Wargames,True,5.92,Wargame,Hexagon Grid,42.95,0.29,True
London Dread,2,4,90,14,901,6.72,2.93,1948.0,Thematic Games,True,5.83,Horror,Cooperative Game,49.95,0.46,True
The Dark Valley,1,2,500,0,389,7.94,3.38,1587.0,Wargames,True,5.91,Wargame,Chit-Pull System,37.95,0.25,True
Star Fleet Battles: Captain's Edition Basic Set,1,6,180,12,483,7.48,4.25,1180.0,Wargames,True,5.87,Movies / TV / Radio theme,Dice Rolling,29.99,0.41,True
Guildhall Fantasy: Fellowship,2,4,45,10,565,7.13,2.0,1408.5269452236823,other,True,5.87,Card Game,Hand Management,60.0,0.4,True
Rolling Freight,2,5,180,13,727,6.8,3.0,1118.0,Strategy Games,True,5.84,Dice,Action Points,60.0,0.65,True
Rat-a-Tat Cat,2,6,10,6,2865,6.22,1.12,5778.0,Children's Games,False,5.93,Animals,Memory,5.0,0.5,True
The Mines of Zavandor,2,4,90,10,969,6.59,2.6,1836.0,Strategy Games,True,5.84,Fantasy,Auction/Bidding,29.95,0.53,True
Trogdor!! The Board Game,1,6,60,14,658,7.03,1.76,2269.0,Family Games,True,5.96,Adventure,Action Retrieval,100.0,0.29,True
Scarabya,1,4,20,8,928,6.64,1.23,1604.0,other,True,5.89,Puzzle,Enclosure,28.0,0.58,True
Perdition's Mouth: Abyssal Rift,1,6,180,10,537,7.56,3.85,1199.0,Strategy Games,True,5.87,Fantasy,Action Points,109.95,0.45,True
Travel Carcassonne,2,5,45,8,500,7.24,1.89,1243.0,Family Games,True,5.87,City Building,Area Majority / Influence,10.0,0.4,True
Deadwood 1876,2,9,40,13,1029,6.65,1.84,3846.0,Party Games,True,5.94,American West,Dice Rolling,23.9,0.27,True
Space Gate Odyssey,2,4,90,12,566,7.14,2.85,1392.0,Strategy Games,True,5.96,Science Fiction,Follow,42.5,0.41,True
The Korean War June 1950-May 1951,1,2,960,15,412,7.64,3.66,1197.0,Wargames,True,5.88,Korean War,Dice Rolling,39.99,0.34,True
Unpublished Prototype,0,0,0,0,804,6.9,2.47,1194.0,Strategy Games,True,5.89,Not available,Not available,24.99,0.67,True
Unmatched Game System,2,4,40,9,266,8.61,2.0,256.0,other,True,6.77,Card Game,Action Points,10.0,1.04,True
Smart10,2,8,120,10,446,7.46,1.31,919.0,other,True,6.65,Party Game,Push Your Luck,15.0,0.49,True
Ice Flow,2,4,75,11,1378,6.41,2.15,1658.0,Family Games,False,5.85,Animals,Bias,29.9,0.83,True
Godzilla: Tokyo Clash,2,4,45,10,468,7.59,2.07,1879.0,other,True,6.12,Card Game,Advantage Token,25.0,0.25,True
Opera,2,4,90,12,1001,6.62,3.23,1215.0,Strategy Games,True,5.84,Age of Reason,Auction/Bidding,34.9,0.82,True
Ligretto,2,4,10,8,3502,6.18,1.19,6549.0,Family Games,False,5.93,Card Game,Ordering,13.99,0.53,True
Augsburg 1520,2,5,75,12,1229,6.44,2.67,1993.0,Strategy Games,True,5.85,Economic,Auction/Bidding,17.99,0.62,True
Mystery Rummy: Murders in the Rue Morgue,2,4,40,8,805,6.73,1.71,1677.0,Family Games,True,5.85,Card Game,Hand Management,6.0,0.48,True
Rent a Hero,3,5,30,8,1581,6.35,1.48,3536.0,Family Games,False,5.86,Bluffing,Deduction,15.5,0.45,True
Confucius,3,5,100,12,698,6.83,3.71,823.0,Strategy Games,True,5.83,Political,Action Points,49.0,0.85,True
Shipwrights of the North Sea,2,5,60,10,1402,6.42,2.29,3326.0,Strategy Games,False,5.87,Medieval,Commodity Speculation,35.0,0.42,True
Asia Engulfed,2,2,480,12,418,7.56,3.79,1548.0,Wargames,True,5.82,Nautical,Area Majority / Influence,40.95,0.27,True
Overseers,3,6,45,12,943,6.69,2.04,2089.0,other,True,5.87,Bluffing,Open Drafting,29.9,0.45,True
Navia Dratp,2,2,30,8,571,7.17,2.89,1000.0,Abstract Games,True,5.83,Abstract Strategy,Grid Movement,15.0,0.57,True
Jenseits von Theben,2,4,75,10,544,7.13,2.43,520.0,Strategy Games,True,5.83,Exploration,Turn Order: Time Track,80.0,1.05,True
Battleball,2,2,45,8,2068,6.27,1.51,3806.0,Family Games,False,5.87,Miniatures,Dice Rolling,15.0,0.54,True
Slide 5,2,10,30,8,1046,6.53,1.29,1320.0,Family Games,True,5.85,Card Game,Hand Management,5.0,0.79,True
Cheaty Mages!,3,6,30,12,1911,6.26,1.58,3420.0,Family Games,False,5.86,Card Game,Betting and Bluffing,15.0,0.56,True
New Dawn,2,4,120,12,687,6.89,3.03,2076.0,Strategy Games,True,5.84,Economic,Area Majority / Influence,62.0,0.33,True
Canterbury,2,4,90,10,626,6.96,3.09,968.0,Strategy Games,True,5.84,City Building,Area Majority / Influence,50.0,0.65,True
Quebec 1759,2,2,60,12,686,6.94,2.15,1264.0,Wargames,True,5.85,Age of Reason,Dice Rolling,20.0,0.54,True
Breaking Away,2,9,90,10,448,7.33,2.28,447.0,Strategy Games,True,5.83,Abstract Strategy,Not available,10.0,1.0,True
Keltis: Das Orakel,2,4,30,10,661,6.89,2.11,929.0,Family Games,True,5.85,Abstract Strategy,Hand Management,44.95,0.71,True
Voodoo Prince,2,5,20,8,575,7.02,1.67,980.0,Family Games,True,6.02,Card Game,Trick-taking,8.29,0.59,True
Indulgence,3,4,60,14,698,6.82,1.89,1570.0,Family Games,True,5.89,Card Game,Trick-taking,16.0,0.44,True
Dos Rios,2,4,70,12,1348,6.42,2.53,2044.0,Strategy Games,False,5.85,Economic,Action Points,25.0,0.66,True
Hand of Fate: Ordeals,1,4,120,14,548,7.34,3.0,1522.0,Thematic Games,True,5.89,Adventure,Cooperative Game,65.0,0.36,True
Afrika: 2nd Edition,2,2,360,14,404,7.56,2.72,958.0,Wargames,True,5.83,Wargame,Dice Rolling,20.0,0.42,True
18EU,2,6,300,14,375,7.59,4.22,417.0,Strategy Games,True,5.84,Economic,Auction/Bidding,15.0,0.9,True
War of the Worlds: The New Wave,2,2,60,0,556,7.26,2.22,1392.0,Thematic Games,True,5.91,Miniatures,Area Movement,59.99,0.4,True
Tongiaki: Journey into the Unknown,2,6,45,10,2285,6.23,1.96,2643.0,Family Games,False,5.86,Exploration,Area Majority / Influence,19.96,0.86,True
Enchanters: Overlords,2,4,60,14,425,7.55,1.92,1474.0,Customizable Games,True,5.88,Adventure,Open Drafting,60.0,0.29,True
D100 Dungeon,1,1,90,10,491,7.76,2.86,1288.0,Thematic Games,True,5.94,Book,Dice Rolling,25.0,0.38,True
If Wishes Were Fishes!,2,5,45,10,1136,6.49,1.95,1330.0,Family Games,True,5.85,Animals,Area Majority / Influence,19.95,0.85,True
Dungeons & Dragons: Waterdeep - Dungeon of the Mad Mage,1,5,60,14,480,8.0,2.41,1638.0,other,True,5.96,Adventure,Cooperative Game,64.99,0.29,True
Quartz,3,5,60,14,750,6.9,1.24,1403.0,other,True,5.89,Fantasy,Push Your Luck,5.0,0.53,True
Valparaíso,2,5,90,12,665,6.9,2.84,1264.0,Strategy Games,True,5.93,Economic,Action Queue,49.9,0.53,True
Wise and Otherwise,2,6,45,12,972,6.65,1.51,1659.0,Party Games,True,5.85,Bluffing,Paper-and-Pencil,20.0,0.59,True
Sabotage,2,4,90,10,433,7.46,2.94,1465.0,other,True,5.92,Bluffing,Action Queue,70.0,0.3,True
The Bucket King,2,6,45,10,1551,6.33,1.23,1361.0,Family Games,False,5.86,Animals,Hand Management,10.0,1.14,True
Team Play,3,6,30,8,602,6.95,1.31,888.0,other,True,5.89,Card Game,Contracts,10.99,0.68,True
Risk: Game of Thrones,2,7,240,18,1318,6.74,2.82,3446.0,Thematic Games,True,5.91,Movies / TV / Radio theme,Area Majority / Influence,49.99,0.38,True
Madame Ching,2,4,45,8,1139,6.47,2.16,1746.0,Family Games,True,5.84,Card Game,Hand Management,30.0,0.65,True
Codex: Card-Time Strategy - Core Set,2,5,45,13,410,7.53,3.45,828.0,other,True,5.86,Card Game,"Deck, Bag, and Pool Building",27.0,0.5,True
Taluva Deluxe,2,4,45,8,338,7.82,2.38,648.0,other,True,5.86,Abstract Strategy,Layering,145.0,0.52,True
Legendary: Big Trouble in Little China,2,5,60,14,604,7.08,1.82,1820.0,other,True,5.88,Card Game,Cooperative Game,47.99,0.33,True
Dungeons & Dragons Basic Game,2,5,90,12,807,6.79,3.04,1837.0,Thematic Games,True,5.86,Adventure,Cooperative Game,17.0,0.44,True
Wellington: The Peninsula War 1812-1814,2,4,180,12,633,6.93,3.22,1319.0,Wargames,True,5.83,Napoleonic,Campaign / Battle Card Driven,43.5,0.48,True
Conquest of the Fallen Lands,3,5,90,10,765,6.79,2.36,919.0,Strategy Games,True,5.83,Fantasy,Enclosure,50.0,0.83,True
Star Wars: Empire vs. Rebellion,2,2,60,10,1691,6.32,1.73,4146.0,Family Games,False,5.85,Bluffing,Card Play Conflict Resolution,5.99,0.41,True
Escape Room in a Box: The Werewolf Experiment,2,8,90,13,520,7.15,2.29,1125.0,other,True,5.86,Deduction,Cooperative Game,69.0,0.46,True
Starship Troopers,1,2,120,12,1183,6.52,3.11,3525.0,Wargames,True,5.87,Novel-based,Dice Rolling,35.0,0.34,True
Carcassonne: Safari,2,5,35,7,584,7.08,1.85,1382.0,Family Games,True,5.96,Animals,Tile Placement,25.5,0.42,True
Wacky Wacky West,2,4,45,9,1735,6.29,1.84,3150.0,Family Games,False,5.86,American West,Tile Placement,20.0,0.55,True
Survive: Space Attack!,2,4,60,8,559,7.05,2.14,1506.0,other,True,5.85,Science Fiction,Action Points,35.0,0.37,True
Order of the Gilded Compass,2,5,60,10,621,6.92,2.23,1321.0,Strategy Games,True,5.83,Adventure,Area Majority / Influence,30.0,0.47,True
Aqua Romana,2,4,60,8,1594,6.32,2.17,2143.0,Family Games,False,5.85,Abstract Strategy,Network and Route Building,26.99,0.74,True
"13 Minutes: The Cuban Missile Crisis, 1962",2,2,13,10,1118,6.46,2.02,2490.0,Strategy Games,True,5.83,Card Game,Area Majority / Influence,8.95,0.45,True
Leaping Lemmings,2,6,72,13,1180,6.44,1.83,1465.0,Family Games,True,5.84,Animals,Dice Rolling,19.95,0.81,True
Buccaneer,3,5,30,8,1688,6.28,1.59,2115.0,Family Games,False,5.84,Pirates,Auction/Bidding,13.99,0.8,True
Micropul,1,2,30,9,784,6.77,1.91,1122.0,Abstract Games,True,5.84,Abstract Strategy,Hand Management,18.0,0.7,True
Chai,1,5,60,8,636,7.08,1.62,1340.0,Family Games,True,6.04,Card Game,Contracts,75.0,0.47,True
Nevsky: Teutons and Rus in Collision 1240-1242,1,2,360,14,294,8.29,3.75,1181.0,Wargames,True,6.22,Medieval,Dice Rolling,54.99,0.25,True
King of the Dice,2,5,30,8,753,6.78,1.05,1490.0,Family Games,True,6.07,Card Game,Contracts,5.0,0.51,True
Tunisia,2,2,360,16,384,7.76,4.07,1063.0,Wargames,True,5.83,Wargame,Dice Rolling,20.0,0.36,True
Small Islands,1,4,30,8,663,6.93,2.04,863.0,Family Games,True,5.92,Exploration,Push Your Luck,25.0,0.77,True
Bravo!,1,6,20,8,457,7.34,1.85,1163.0,other,True,6.19,Dice,Dice Rolling,8.0,0.39,True
Nuclear War,2,6,60,10,2811,6.21,1.44,4014.0,Thematic Games,False,5.86,Card Game,Action Queue,15.0,0.7,True
Triumvirate,2,2,30,12,757,6.72,1.93,1012.0,Strategy Games,True,5.82,Ancient,Commodity Speculation,20.0,0.75,True
Ankh'or,2,4,30,8,597,7.03,1.82,1192.0,Family Games,True,6.0,Animals,Layering,10.0,0.5,True
Rocky Road à la Mode,2,4,30,10,729,6.77,1.83,1533.0,other,True,5.84,Card Game,Open Drafting,12.0,0.48,True
Battle for Germany,2,4,180,12,533,7.14,2.11,1169.0,Wargames,True,5.87,Wargame,Dice Rolling,19.0,0.46,True
Sherlock Holmes Consulting Detective: The Baker Street Irregulars,1,8,90,14,261,8.54,2.25,1282.0,other,True,6.53,Deduction,Cooperative Game,39.0,0.2,True
Goldbräu,3,4,60,10,1267,6.41,2.52,1778.0,Strategy Games,False,5.85,Economic,Area Majority / Influence,23.0,0.71,True
Beowulf: The Movie Board Game,2,4,60,10,1543,6.38,2.13,2672.0,Abstract Games,False,5.84,Abstract Strategy,Hand Management,20.0,0.58,True
Bring Your Own Book,3,8,20,12,668,6.87,1.13,1684.0,Party Games,True,5.84,Card Game,Hand Management,10.99,0.4,True
Close Action: The Age of Fighting Sail Vol. 1,2,30,240,12,365,7.83,3.48,899.0,Wargames,True,5.82,Age of Reason,Action Queue,29.0,0.41,True
Municipium,2,4,60,10,800,6.68,2.43,1271.0,Strategy Games,True,5.87,Ancient,Area Majority / Influence,32.95,0.63,True
Bombay,2,5,60,10,1667,6.3,2.05,2101.0,Family Games,False,5.82,Economic,Action Points,16.0,0.79,True
Dragon's Hoard,2,4,45,8,1204,6.48,1.43,2317.0,Family Games,True,5.85,Adventure,Hand Management,20.0,0.52,True
DC Comics Dice Masters: War of Light,2,2,60,14,474,7.3,2.27,1295.0,other,True,5.82,Collectible Components,"Deck, Bag, and Pool Building",5.0,0.37,True
1906 San Francisco,2,4,60,12,444,7.3,2.29,820.0,Strategy Games,True,5.85,City Building,Area Majority / Influence,24.9,0.54,True
Good & Bad Ghosts,2,2,15,6,1419,6.36,1.31,2011.0,Abstract Games,False,5.86,Abstract Strategy,Grid Movement,5.4,0.71,True
OctoDice,1,4,30,10,1069,6.5,1.89,1786.0,Family Games,True,5.83,Dice,Dice Rolling,25.0,0.6,True
Cave Evil,2,4,180,16,357,7.94,3.44,656.0,Thematic Games,True,5.94,Adventure,Area Movement,39.0,0.54,True
"1066, Tears to Many Mothers",1,2,60,12,566,7.15,2.24,1452.0,Wargames,True,5.91,Card Game,Card Play Conflict Resolution,20.0,0.39,True
Keltis: Der Weg der Steine Mitbringspiel,2,4,15,7,1155,6.45,1.26,1804.0,Family Games,True,5.87,Ancient,Push Your Luck,7.0,0.64,True
Micro Mutants: Evolution,2,4,30,10,920,6.61,1.43,1458.0,Family Games,True,5.82,Action / Dexterity,Dice Rolling,26.99,0.63,True
Amul,3,8,45,10,590,6.99,2.14,959.0,other,True,5.93,Arabian,Contracts,30.0,0.62,True
Lunarchitects,1,5,60,13,451,7.29,2.64,705.0,Strategy Games,True,5.84,Science Fiction,Grid Movement,49.95,0.64,True
Summit: The Board Game,1,6,180,14,631,7.18,2.3,1294.0,other,True,5.98,Adventure,Area Majority / Influence,69.95,0.49,True
Noah,2,5,30,7,1099,6.51,1.34,1719.0,Family Games,True,5.82,Animals,Hand Management,9.49,0.64,True
Doodle Quest,1,4,15,6,758,6.72,1.09,1328.0,Children's Games,True,5.84,Action / Dexterity,Line Drawing,15.99,0.57,True
Pax Emancipation,1,3,120,14,352,7.65,4.47,1375.0,Strategy Games,True,5.96,Age of Reason,Action Points,50.0,0.26,True
Mr. Cabbagehead's Garden,1,2,20,10,488,7.21,1.71,1172.0,Strategy Games,True,6.02,Card Game,Open Drafting,30.0,0.42,True
Vs System,2,2,15,10,811,6.77,2.6,1269.0,Customizable Games,True,5.84,Card Game,Hand Management,11.95,0.64,True
Glorantha: The Gods War,3,4,120,14,333,8.11,3.43,606.0,Thematic Games,True,5.88,Fantasy,Action Points,350.0,0.55,True
Magnastorm,2,4,100,12,698,6.84,3.11,1464.0,Strategy Games,True,5.9,Exploration,Area Movement,45.0,0.48,True
Sonora,1,4,45,10,486,7.24,2.3,1218.0,other,True,6.07,Action / Dexterity,Action Points,12.0,0.4,True
Railways of Nippon,2,4,120,12,338,7.72,2.6,967.0,other,True,5.91,Trains,Auction/Bidding,31.0,0.35,True
Dungeon Mayhem: Monster Madness,2,6,10,8,371,7.76,1.14,1331.0,other,True,6.21,Card Game,Hand Management,15.0,0.28,True
Deckscape: The Mystery of Eldorado,1,6,90,12,925,6.59,1.86,1847.0,other,True,5.89,Adventure,Cooperative Game,9.99,0.5,True
Dark Souls: The Card Game,1,4,60,12,766,6.98,2.56,1902.0,other,True,5.89,Card Game,Cooperative Game,60.0,0.4,True
Compatibility,3,6,30,12,1123,6.52,1.12,1624.0,Party Games,True,5.88,Card Game,Simultaneous Action Selection,30.0,0.69,True
Clippers,2,5,90,10,928,6.59,2.62,1180.0,Strategy Games,True,5.83,Economic,Network and Route Building,19.0,0.79,True
"Warhammer 40,000 (Eighth Edition)",2,12,180,12,370,7.7,3.41,781.0,Wargames,True,5.82,Miniatures,Action Points,20.0,0.47,True
13 Clues,2,6,30,8,714,6.78,1.93,1309.0,Family Games,True,5.92,Deduction,Action Points,29.9,0.55,True
Dungeons & Dragons Dice Masters: Faerûn Under Siege,2,2,60,14,387,7.59,2.4,1021.0,other,True,5.81,Collectible Components,"Deck, Bag, and Pool Building",80.0,0.38,True
Catan Geographies: Germany,3,4,60,10,659,6.88,2.38,1256.0,Family Games,True,5.82,Negotiation,Dice Rolling,70.0,0.52,True
